Ewe/V	<I>/mA	time/s
3.1583431E+000	3.602790295145741E-001	1.569999960338464E+003
3.1595078E+000	3.602781360218529E-001	1.574999960212153E+003
3.1604621E+000	3.602792725954347E-001	1.579999960085843E+003
3.1613023E+000	3.602806426177662E-001	1.584999959959532E+003
3.1623905E+000	3.602794397673940E-001	1.589999959833222E+003
3.1634023E+000	3.602797136960432E-001	1.594999959706911E+003
3.1642804E+000	3.602797339950015E-001	1.599999959580600E+003
3.1654639E+000	3.602795021388880E-001	1.604999959454290E+003
3.1661513E+000	3.602785426924336E-001	1.609999959327979E+003
3.1672394E+000	3.602779442033723E-001	1.614999959201668E+003
3.1681175E+000	3.602771979663139E-001	1.619999959075358E+003
3.1691484E+000	3.602789830312947E-001	1.624999958949047E+003
3.1701984E+000	3.602777258644004E-001	1.629999958822737E+003
3.1710765E+000	3.602795730970273E-001	1.634999958696426E+003
3.1717257E+000	3.602777314922712E-001	1.639999958570115E+003
3.1729283E+000	3.602780936048024E-001	1.644999958443805E+003
3.1739020E+000	3.602777917323030E-001	1.649999958317494E+003
3.1748567E+000	3.602762580701834E-001	1.654999958191183E+003
3.1756966E+000	3.602756785747389E-001	1.659999958064873E+003
3.1764984E+000	3.602761822125422E-001	1.664999957938562E+003
3.1774530E+000	3.602754703220652E-001	1.669999957812252E+003
3.1784647E+000	3.602778164384288E-001	1.674999957685941E+003
3.1793811E+000	3.602762491867070E-001	1.679999957559630E+003
3.1801066E+000	3.602762229523180E-001	1.684999957433320E+003
3.1811373E+000	3.602757846137888E-001	1.689999957307009E+003
3.1819966E+000	3.602761745950684E-001	1.694999957180698E+003
3.1829128E+000	3.602739194723498E-001	1.699999957054388E+003
3.1838102E+000	3.602757132980215E-001	1.704999956928077E+003
3.1846693E+000	3.602770455381599E-001	1.709999956801767E+003
3.1856427E+000	3.602772522017736E-001	1.714999956675456E+003
3.1863682E+000	3.602766790935630E-001	1.719999956549145E+003
3.1873610E+000	3.602764510676439E-001	1.724999956422835E+003
3.1882963E+000	3.602765675124729E-001	1.729999956296524E+003
3.1891365E+000	3.602767057237268E-001	1.734999956170213E+003
